Date,Name,Year,Letterboxd URI
2019-10-02,Superbad,2007,https://boxd.it/20hO
2019-10-02,Casino,1995,https://boxd.it/2ads
2019-10-02,Pusher,1996,https://boxd.it/27wG
2019-10-02,Trainspotting,1996,https://boxd.it/29XY
2019-10-02,Reservoir Dogs,1992,https://boxd.it/2agc
2019-10-02,The Lion King,1994,https://boxd.it/201Q
2019-10-02,Raging Bull,1980,https://boxd.it/28yI
2019-10-02,Full Metal Jacket,1987,https://boxd.it/2a1Q
2019-10-02,True Romance,1993,https://boxd.it/2aBa
2019-10-02,OSS 117: Lost in Rio,2009,https://boxd.it/1LVu
2019-10-02,Die Hard With a Vengeance,1995,https://boxd.it/28zG
2019-10-02,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2019-10-02,Carlito's Way,1993,https://boxd.it/226e
2019-10-02,Memories of Murder,2003,https://boxd.it/1TSo
2019-10-02,No Country for Old Men,2007,https://boxd.it/21ew
2019-10-02,Princess Mononoke,1997,https://boxd.it/2b4w
2019-10-02,Evil Dead II,1987,https://boxd.it/29Ge
2019-10-02,Army of Darkness,1992,https://boxd.it/29G4
2019-10-02,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2019-10-02,Shocking Dark,1989,https://boxd.it/7DS
2019-10-02,Predator,1987,https://boxd.it/2b84
2019-10-02,Last Action Hero,1993,https://boxd.it/1YhW
2019-10-02,American Pie,1999,https://boxd.it/27qy
2019-10-02,Starship Troopers,1997,https://boxd.it/2a7k
2019-10-02,Resident Evil: Extinction,2007,https://boxd.it/20Oy
2019-10-02,Total Recall,1990,https://boxd.it/29qK
2019-10-02,Signs,2002,https://boxd.it/26t2
2019-10-02,The Sixth Sense,1999,https://boxd.it/29Js
2019-10-02,Manhunter,1986,https://boxd.it/1TOw
2019-10-02,Unbreakable,2000,https://boxd.it/1XV2
2019-10-02,Paranormal Activity,2007,https://boxd.it/1yIM
2019-10-02,The Blair Witch Project,1999,https://boxd.it/26ua
2019-10-02,[REC],2007,https://boxd.it/20ma
2019-10-02,Diary of the Dead,2007,https://boxd.it/1QZw
2019-10-02,Cannibal Holocaust,1980,https://boxd.it/1ZWQ
2019-10-02,Cloverfield,2008,https://boxd.it/2192
2019-10-02,The Beach,2000,https://boxd.it/27T6
2019-10-02,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6
2019-10-02,Collateral,2004,https://boxd.it/28F0
2019-10-02,It,1990,https://boxd.it/26tG
2019-10-02,Pacific Rim,2013,https://boxd.it/2cB2
2019-10-02,The Terminator,1984,https://boxd.it/2aQY
2019-10-02,Gremlins,1984,https://boxd.it/29gg
2019-10-02,Gremlins 2: The New Batch,1990,https://boxd.it/29g6
2019-10-02,A Clockwork Orange,1971,https://boxd.it/2aVE
2019-10-02,Mad Max 2,1981,https://boxd.it/1ZPg
2019-10-02,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8
2019-10-02,Mean Streets,1973,https://boxd.it/2aSU
2019-10-02,The Last Temptation of Christ,1988,https://boxd.it/1ULe
2019-10-02,The Wolf of Wall Street,2013,https://boxd.it/3C1m
